"Pecahan Nilai Pindah Milik Harta Kediaman Mengikut Jenis dan Daerah (RM Juta) Di Pulau Pinang Bagi Tahun 2017","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"PRO_TYPE","QUARTER","Daerah Timur Laut","Daerah Timur Laut  (RM Juta)","Daerah Barat Daya","Daerah Barat Daya  (RM Juta)","Daerah Utara","Daerah Utara  (RM Juta)","Daerah Tengah","Daerah Tengah  (RM Juta)","Daerah Selatan","Daerah Selatan  (RM Juta)","Total ","Total  (RM Juta)"
"Vacant Plot","Q1 2017","41943500","41.94","920000","0.92","1409030","1.41","4788818","4.79","6036656","6.04","55098004.00","55.10"
"Vacant Plot","Q2 2017","50408119","50.41","1015000","1.01","655400","0.66","1957765","1.96","4792799","4.79","58829083.00","58.83"
"Vacant Plot","Q3 2017","57049820","57.05","1620000","1.62","1216564","1.22","3767440","3.77","5213048","5.21","68866872.00","68.87"
"Vacant Plot","Q4 2017","18401900","18.40","33003000","33.00","2451344","2.45","1696669","1.70","2291409","2.29","57844322.00","57.84"
"1 - 1 1/2 Storey Terraced","Q1 2017","12178100","12.18","7622000","7.62","29996130","30.00","24670000","24.67","19276339","19.28","93742569.00","93.74"
"1 - 1 1/2 Storey Terraced","Q2 2017","16992333","16.99","8138000","8.14","19160980","19.16","21832667","21.83","23822500","23.82","89946480.00","89.95"
"1 - 1 1/2 Storey Terraced","Q3 2017","19059666","19.06","9946888","9.95","13436053","13.44","19890000","19.89","22596228","22.60","84928835.00","84.93"
"1 - 1 1/2 Storey Terraced","Q4 2017","18214916","18.21","9269500","9.27","11926611","11.93","19212300","19.21","24404138","24.40","83027465.00","83.03"
"2 - 2 1/2 Storey Terraced","Q1 2017","82148167","82.15","60630460","60.63","47284427","47.28","63642272","63.64","45435162","45.44","299140488.00","299.14"
"2 - 2 1/2 Storey Terraced","Q2 2017","76800274","76.80","59355946","59.36","36185857","36.19","71528073","71.53","32443217","32.44","276313367.00","276.31"
"2 - 2 1/2 Storey Terraced","Q3 2017","139539640","139.54","59383224","59.38","56073906","56.07","80362992","80.36","37292074","37.29","372651836.00","372.65"
"2 - 2 1/2 Storey Terraced","Q4 2017","88672500","88.67","41325800","41.33","50657600","50.66","66890520","66.89","90786882","90.79","338333302.00","338.33"
"1 - 1 1/2 Storey Semi-Detached","Q1 2017","13125000","13.12","730000","0.73","1851800","1.85","6262000","6.26","11183548","11.18","33152348.00","33.15"
"1 - 1 1/2 Storey Semi-Detached","Q2 2017","7940800","7.94","3128000","3.13","2566000","2.57","9742613","9.74","15060064","15.06","38437477.00","38.44"
"1 - 1 1/2 Storey Semi-Detached","Q3 2017","20532333","20.53","2140000","2.14","3038000","3.04","9683468","9.68","10810845","10.81","46204646.00","46.20"
"1 - 1 1/2 Storey Semi-Detached","Q4 2017","14408000","14.41","3825000","3.83","5604500","5.60","8868148","8.87","7881024","7.88","40586672.00","40.59"
"2 - 2 1/2 Storey Semi-Detached","Q1 2017","52109333","52.11","23224580","23.22","10649820","10.65","38469388","38.47","14718993","14.72","139172114.00","139.17"
"2 - 2 1/2 Storey Semi-Detached","Q2 2017","63038000","63.04","21174000","21.17","12876450","12.88","44406337","44.41","51214220","51.21","192709007.00","192.71"
"2 - 2 1/2 Storey Semi-Detached","Q3 2017","47453333","47.45","25018600","25.02","12802040","12.80","31856574","31.86","63288550","63.29","180419097.00","180.42"
"2 - 2 1/2 Storey Semi-Detached","Q4 2017","51914000","51.91","27465880","27.47","14168200","14.17","37131918","37.13","34455249","34.46","165135247.00","165.14"
"Detached","Q1 2017","49118833","49.12","9143797","9.14","6505070","6.51","15816154","15.82","8195000","8.20","88778854.00","88.78"
"Detached","Q2 2017","66742099","66.74","12260900","12.26","9838800","9.84","19348888","19.35","6529600","6.53","114720287.00","114.72"
"Detached","Q3 2017","88562888","88.56","16434200","16.43","3932810","3.93","23892250","23.89","18808788","18.81","151630936.00","151.63"
"Detached","Q4 2017","121993800","121.99","11957500","11.96","11551830","11.55","16562400","16.56","11572700","11.57","173638230.00","173.64"
"Condominium/Apartment","Q1 2017","189800333","189.80","73061000","73.06","20236133","20.24","12277570","12.28","0","0.00","295375036.00","295.38"
"Condominium/Apartment","Q2 2017","214948170","214.95","67585440","67.59","18081050","18.08","12130500","12.13","0","0.00","312745160.00","312.75"
"Condominium/Apartment","Q3 2017","263676456","263.68","79745567","79.75","19098180","19.10","16174800","16.17","0","0.00","378695003.00","378.70"
"Condominium/Apartment","Q4 2017","267330833","267.33","83323135","83.32","25364740","25.36","21740800","21.74","0","0.00","397759508.00","397.76"
"Cluster House","Q1 2017","1265000","1.26","1998800","2.00","2362674","2.36","1550000","1.55","620000","0.62","7796474.00","7.80"
"Cluster House","Q2 2017","1422500","1.42","2293000","2.29","961000","0.96","1956500","1.96","635300","0.64","7268300.00","7.27"
"Cluster House","Q3 2017","745000","0.74","1563000","1.56","867500","0.87","2177000","2.18","1162000","1.16","6514500.00","6.51"
"Cluster House","Q4 2017","320000","0.32","3373000","3.37","1467086","1.47","4667000","4.67","929500","0.93","10756586.00","10.76"
"Town House","Q1 2017","3803000","3.80","3010000","3.01","665000","0.67","246000","0.25","290000","0.29","8014000.00","8.01"
"Town House","Q2 2017","1460000","1.46","2079000","2.08","875000","0.88","1507000","1.51","175500","0.18","6096500.00","6.10"
"Town House","Q3 2017","2465000","2.46","1660000","1.66","4784229","4.78","0","0.00","364500","0.36","9273729.00","9.27"
"Town House","Q4 2017","2330000","2.33","520000","0.52","3756000","3.76","515000","0.52","327000","0.33","7448000.00","7.45"
"Flat","Q1 2017","85052717","85.05","19889000","19.89","5211386","5.21","2985400","2.99","0","0.00","113138503.00","113.14"
"Flat","Q2 2017","83250501","83.25","19737500","19.74","2525736","2.53","4801500","4.80","0","0.00","110315237.00","110.32"
"Flat","Q3 2017","111263599","111.26","15945334","15.95","2001500","2.00","2610500","2.61","0","0.00","131820933.00","131.82"
"Flat","Q4 2017","103271676","103.27","20934666","20.93","3380600","3.38","2521000","2.52","232000","0.23","130339942.00","130.34"
"Low-Cost House","Q1 2017","1455000","1.46","744000","0.74","1891300","1.89","4132667","4.13","3052340","3.05","11275307.00","11.28"
"Low-Cost House","Q2 2017","1540000","1.54","1217000","1.22","2715500","2.72","5125000","5.12","3310000","3.31","13907500.00","13.91"
"Low-Cost House","Q3 2017","1420000","1.42","695000","0.69","2222000","2.22","5647000","5.65","3338000","3.34","13322000.00","13.32"
"Low-Cost House","Q4 2017","850000","0.85","110000","0.11","2663719","2.66","5779800","5.78","3563800","3.56","12967319.00","12.97"
"Low-Cost Flat","Q1 2017","22158500","22.16","9373000","9.37","2288500","2.29","12263300","12.26","1028000","1.03","47111300.00","47.11"
"Low-Cost Flat","Q2 2017","21988133","21.99","7121500","7.12","1731300","1.73","8493767","8.49","973790","0.97","40308490.00","40.31"
"Low-Cost Flat","Q3 2017","29338634","29.34","9081033","9.08","1107300","1.11","8510900","8.51","710000","0.71","48747867.00","48.75"
"Low-Cost Flat","Q4 2017","27906301","27.91","8884300","8.88","2151800","2.15","8204500","8.20","1108000","1.11","48254901.00","48.25"
"Others","Q1 2017","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0.00","0.00"
"Others","Q2 2017","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0.00","0.00"
"Others","Q3 2017","0","0.00","0","0.00","0","0.00","0","0.00","296000","0.30","296000.00","0.30"
"Others","Q4 2017","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0.00","0.00"
"Total","Q1 2017","534,419,326","534.42","174,542,433","174.54","66,199,924","66.20","150,808,536","150.81","92,283,234","92.28","1,018,253,453","  1,018.25 "
"Total","Q2 2017","606,530,929","606.53","205,105,286","205.11","108,173,073","108.17","202,830,610","202.83","138,956,990","138.96","1,261,596,888","  1,261.60 "
"Total","Q3 2017","781,106,369","781.11","223,232,846","223.23","120,580,082","120.58","204,572,924","204.57","163,880,033","163.88","1,493,372,254","  1,493.37 "
"Total","Q4 2017","1,060,897,852","1060.90","345,956,866","345.96","129,833,848","129.83","291,874,459","291.87","169,506,404","169.51","1,998,069,429","  1,998.07 "
